Date,PunchCode,WorkType,Hours,NoOfMan,SystemHours,Quantity,ResourceKPI,SystemKPI
2019-07-01,211,211,48.76,6.095,24.848333,2413.0,49.487284,97.10913
2019-07-01,214,214,64.4,8.05,46.749444,33438.0,519.223602,715.259843
2019-07-02,213,213,60.63,7.57875,0.119444,20.0,0.32987,167.442484
2019-07-03,214,214,58.37,7.29625,41.465277,37104.0,635.669008,894.820984
2019-07-04,211,211,73.37,9.17125,31.783333,7269.0,99.07319,228.704774
2019-07-04,214,214,56.45,7.05625,31.639444,45883.0,812.807794,1450.183511
2019-07-05,209,209,53.32,6.665,53.771111,21693.0,406.845461,403.432244
2019-07-05,215,215,34.21,4.27625,39.546666,9019.0,263.636363,228.05968
2019-07-08,213,213,33.16,4.145,0.07,11.0,0.331725,157.142857
2019-07-09,214,214,48.55,6.06875,44.941944,40353.0,831.163748,897.891733
2019-07-10,209,209,89.76,11.22,73.037777,25471.0,283.767825,348.737339
2019-07-10,215,215,49.22,6.1525,39.534166,10660.0,216.578626,269.640189
2019-07-11,213,213,23.11,2.88875,0.051388,11.0,0.475984,214.057757
2019-07-12,215,215,27.96,3.495,26.575555,5434.0,194.34907,204.473622
2019-07-13,209,209,0.0,0.0,0.043888,11.0,0.0,250.637987
2019-07-15,211,211,134.63,16.82875,84.116388,20927.0,155.440837,248.786241
2019-07-15,214,214,39.05,4.88125,16.204166,12715.0,325.608194,784.674755
2019-07-17,211,211,137.6,17.2,41.670833,11511.0,83.655523,276.236378
2019-07-18,215,215,28.72,3.59,20.348611,8532.0,297.075208,419.291518
2019-07-19,209,209,55.75,6.96875,31.317777,16121.0,289.165919,514.755565
2019-07-22,213,213,8.02,1.0025,0.192777,21.0,2.618454,108.934157
2019-07-24,211,211,80.23,10.02875,22.661666,8826.0,110.008724,389.468276
2019-07-24,214,214,45.03,5.62875,29.193333,68978.0,1531.823228,2362.799752
2019-07-25,215,215,21.76,2.72,20.703611,4986.0,229.136029,240.827554
2019-07-26,211,211,48.33,6.04125,8.890277,3751.0,77.612249,421.921611
2019-07-29,214,214,65.51,8.18875,35.472222,82712.0,1262.585864,2331.74003
2019-07-30,211,211,63.8,7.975,14.531944,4820.0,75.548589,331.683083
2019-07-30,214,214,62.43,7.80375,29.601111,45054.0,721.672272,1522.037466
2019-07-31,209,209,55.62,6.9525,31.107777,10752.0,193.311758,345.637041
2019-07-31,215,215,47.38,5.9225,39.995,10395.0,219.396369,259.907488
2019-08-01,215,215,37.46,4.6825,32.542777,8908.0,237.80032,273.732017
2019-08-02,209,209,48.87,6.10875,45.223611,14898.0,304.8496,329.429686
2019-08-02,215,215,54.28,6.785,29.305555,7532.0,138.761974,257.016118
2019-08-05,209,209,54.06,6.7575,49.518888,16931.0,313.189049,341.909939
2019-08-06,213,213,30.8,3.85,0.217222,46.0,1.493506,211.764923
2019-08-07,209,209,82.66,10.3325,69.399166,27447.0,332.046939,395.494666
